Seed,Solucion Empleada,Problema,Tiempo,Nodos
3,Hill-climbing-parallel,"mistake
",1184.76429501,373890
4,Hill-climbing-parallel,"mistake
",1218.29423701,396662
5,Hill-climbing-parallel,"mistake
",1352.52340201,388226
1,Hill-climbing-parallel,"odfits
",54.6898830001,17734
2,Hill-climbing-parallel,"odfits
",48.8085840001,18120
3,Hill-climbing-parallel,"odfits
",45.4318060001,17796
4,Hill-climbing-parallel,"odfits
",76.4862730001,17836
5,Hill-climbing-parallel,"odfits
",82.7218640001,18130
1,Hill-climbing-parallel,ex2_1_9bis,206.505051001,75020
2,Hill-climbing-parallel,ex2_1_9bis,168.000214001,75048
3,Hill-climbing-parallel,ex2_1_9bis,173.410765001,75262
4,Hill-climbing-parallel,ex2_1_9bis,183.031281001,75302
5,Hill-climbing-parallel,ex2_1_9bis,174.343651001,74560
